,lmp
2014-05-20,63.6068928472
2014-05-21,66.9185473958
2014-05-22,60.0189392014
2014-05-23,5.49626940972
2014-05-24,37.7082163542
2014-05-25,49.3653727431
2014-05-26,61.0564267361
2014-05-27,35.7382390625
2014-05-28,58.1681534375
2014-05-29,55.5199205556
2014-05-30,43.0823009375
2014-05-31,47.0792255208
2014-06-01,63.7662439583
2014-06-02,41.9661714583
2014-06-03,39.2098962153
2014-06-04,37.5607
2014-06-05,35.1740268056
2014-06-06,34.5006184375
2014-06-07,33.5130810069
2014-06-08,70.0347293403
2014-06-09,68.5291422917
2014-06-10,52.1776113194
2014-06-11,37.1966355208
2014-06-12,38.9729523264
2014-06-13,47.0792199653
2014-06-14,28.2707657986
2014-06-15,22.9483203125
2014-06-16,16.5256243403
2014-06-17,34.2091763542
2014-06-18,34.7065739236
2014-06-19,39.669210625
2014-06-20,42.4016782639
2014-06-21,36.0819110069
2014-06-22,22.5185902778
2014-06-23,31.3585988194
2014-06-24,39.6424292361
2014-06-25,36.7889610417
2014-06-26,42.9996152431
2014-06-27,55.0601971181
2014-06-28,45.1605191319
2014-06-29,59.4468411806
2014-06-30,51.8356736111
2014-07-01,36.1889744097
2014-07-02,42.6713638194
2014-07-03,62.3128542361
2014-07-04,44.4102309375
2014-07-05,40.6023031944
2014-07-06,40.1475854861
2014-07-07,38.3508810764
2014-07-08,43.4780512847
2014-07-09,44.9006054861
2014-07-10,29.1832524653
2014-07-11,21.5020237847
2014-07-12,25.800733125
2014-07-13,41.4745742361
2014-07-14,72.24358375
2014-07-15,42.76180125
2014-07-16,38.1304343403
2014-07-17,35.8734576042
2014-07-18,39.5369051736
2014-07-19,57.7286661458
2014-07-20,34.8853426042
2014-07-21,41.9913860417
2014-07-22,44.0656872222
2014-07-23,38.6116180556
2014-07-24,54.8389956597
2014-07-25,48.2802734375
2014-07-26,88.4500154861
2014-07-27,52.4904475
2014-07-28,42.0291320139
2014-07-29,43.0737786458
2014-07-30,45.4781068056
2014-07-31,48.1012423611
2014-08-01,68.8787726736
2014-08-02,43.1965633333
2014-08-03,34.6463006597
2014-08-04,35.9962121181
2014-08-05,39.9140707639
2014-08-06,44.7396694097
2014-08-07,35.4152852431
2014-08-08,43.5157940972
2014-08-09,40.2722467361
2014-08-10,48.4462323958
2014-08-11,59.3921779861
2014-08-12,39.0067848611
2014-08-13,45.1644302083
2014-08-14,49.0289327778
2014-08-15,56.3928979514
2014-08-16,45.5646727431
2014-08-17,41.4016055903
2014-08-18,51.8633810069
2014-08-19,37.4778745833
2014-08-20,38.8283721528
2014-08-21,52.6277803819
2014-08-22,41.4385298958
2014-08-23,38.2192088889
2014-08-24,34.8220367361
2014-08-25,45.5338391319
2014-08-26,43.4286821875
2014-08-27,48.9105933681
2014-08-28,49.9023618403
2014-08-29,35.144915625
2014-08-30,37.3093740278
2014-08-31,30.8139632986
2014-09-01,51.6372728819
2014-09-02,43.4772582986
2014-09-03,42.7472981944
2014-09-04,36.5995897569
2014-09-05,34.5756537153
2014-09-06,39.1198653472
2014-09-07,38.3117509028
2014-09-08,34.0153096875
2014-09-09,26.6915486458
2014-09-10,46.8256971875
2014-09-11,44.9748171181
2014-09-12,60.3772851042
2014-09-13,39.3306557639
2014-09-14,43.8696851736
2014-09-15,44.5386350347
2014-09-16,57.6794986111
2014-09-17,49.8866719444
2014-09-18,39.9027565278
2014-09-19,43.60871375
2014-09-20,41.2965588542
2014-09-21,34.2733559375
2014-09-22,46.6171223611
2014-09-23,48.4042590972
2014-09-24,57.4936950347
2014-09-25,45.8636748611
2014-09-26,40.5065924653
2014-09-27,45.9869098958
2014-09-28,48.5063897569
2014-09-29,34.4210096181
2014-09-30,34.6813515972
2014-10-01,38.3853226389
2014-10-02,44.3101548958
2014-10-03,44.3651072569
2014-10-04,41.8257107292
2014-10-05,43.7528885764
2014-10-06,80.315058125
2014-10-07,55.3706240625
2014-10-08,40.5036601736
2014-10-09,49.5246088542
2014-10-10,34.7866115278
2014-10-11,37.0828327083
2014-10-12,34.2106483681
2014-10-13,40.8677731944
2014-10-14,44.4698384375
2014-10-15,48.8120792014
2014-10-16,40.3723877431
2014-10-17,38.3105652083
2014-10-18,34.2327808333
2014-10-19,34.3898484722
2014-10-20,36.0543198264
2014-10-21,21.0836028125
2014-10-22,43.0455686458
2014-10-23,38.2752163889
2014-10-24,38.2830595139
2014-10-25,53.0857921181
2014-10-26,10.1132885069
2014-10-27,41.2502647222
2014-10-28,37.8666598958
2014-10-29,36.9249895139
2014-10-30,42.4514746875
2014-10-31,39.6707893056
2014-11-01,43.3944861111
2014-11-02,13.7043395
2014-11-03,42.1398699653
2014-11-04,40.1570960764
2014-11-05,39.5213033333
2014-11-06,40.512815
2014-11-07,57.0648103125
2014-11-08,38.6512474653
2014-11-09,27.9252784028
2014-11-10,47.5274436806
2014-11-11,35.5705023958
2014-11-12,34.7572065278
2014-11-13,42.5982047222
2014-11-14,30.8266596875
2014-11-15,34.7373708333
2014-11-16,42.7352063542
2014-11-17,53.7912972569
2014-11-18,47.2290349653
2014-11-19,54.5471959722
2014-11-20,53.7274431597
2014-11-21,37.6762487153
2014-11-22,44.3120301736
2014-11-23,39.6455598611
2014-11-24,39.3704441667
2014-11-25,38.1486259375
2014-11-26,34.8296630208
2014-11-27,31.1982245486
2014-11-28,33.1083795833
2014-11-29,31.5032401736
2014-11-30,53.8038361111
2014-12-01,49.4431534028
2014-12-02,44.7820257292
2014-12-03,33.6511851736
2014-12-04,36.8046479861
2014-12-05,43.9931799653
2014-12-06,34.0988544444
2014-12-07,38.0623676042
2014-12-08,43.2946154861
2014-12-09,36.850981875
2014-12-10,34.5235708333
2014-12-11,37.7990363194
2014-12-12,29.0664713542
2014-12-13,40.3253648611
2014-12-14,36.1148631597
2014-12-15,44.1613295486
2014-12-16,40.4575763542
2014-12-17,44.1153952083
2014-12-18,30.6181568056
2014-12-19,35.6975162847
2014-12-20,33.5115812847
2014-12-21,10.4741846875
2014-12-22,34.1808675347
2014-12-23,38.1266165278
2014-12-24,33.3273074653
2014-12-25,14.2453205556
2014-12-26,20.9651325347
2014-12-27,23.2030211111
2014-12-28,19.1293957986
2014-12-29,22.461756875
2014-12-30,25.7007613542
2014-12-31,39.7053725347
2015-01-01,37.1919953819
2015-01-02,36.6362419792
2015-01-03,35.9301782986
2015-01-04,38.704716875
2015-01-05,53.9082751736
2015-01-06,29.5882191319
2015-01-07,29.6305085069
2015-01-08,36.7908514236
2015-01-09,33.5445342361
2015-01-10,33.7398005903
2015-01-11,33.601564375
2015-01-12,34.9421469792
2015-01-13,38.2757387153
2015-01-14,33.2180227778
2015-01-15,31.2976512153
2015-01-16,27.6393449653
2015-01-17,26.8871188194
2015-01-18,26.5270297569
2015-01-19,45.5324733681
2015-01-20,56.0520657986
2015-01-21,32.4785202431
2015-01-22,32.4459605208
2015-01-23,40.5846725
2015-01-24,46.0163058333
2015-01-25,42.7856829167
2015-01-26,50.8278872222
2015-01-27,27.7410685764
2015-01-28,32.0347616319
2015-01-29,30.7642125694
2015-01-30,27.176074375
2015-01-31,24.2581757986
2015-02-01,31.8599309375
2015-02-02,31.3056043403
2015-02-03,25.5796487847
2015-02-04,29.3199052431
2015-02-05,23.2693068056
2015-02-06,25.5576461458
2015-02-07,25.6845494444
2015-02-08,16.0507678819
2015-02-09,7.69998076389
2015-02-10,13.5032528819
2015-02-11,25.937085
2015-02-12,40.1093534028
2015-02-13,28.6147831597
2015-02-14,18.8870709028
2015-02-15,20.120725
2015-02-16,20.3129247917
2015-02-17,25.2687165278
2015-02-18,34.5657779861
2015-02-19,30.2800636806
2015-02-20,77.3911111806
2015-02-21,39.0076245486
2015-02-22,34.5650888889
2015-02-23,49.1295364583
2015-02-24,24.1174450694
2015-02-25,17.7940495486
2015-02-26,21.5281129514
2015-02-27,41.0819129514
2015-02-28,51.0781090625
2015-03-01,67.9823154167
2015-03-02,44.9232924306
2015-03-03,21.0004553472
2015-03-04,25.06607625
2015-03-05,26.1985297917
2015-03-06,25.8339664236
2015-03-07,26.7807520486
2015-03-08,13.7735690217
2015-03-09,25.2622250694
2015-03-10,30.6267854861
2015-03-11,47.2632636806
2015-03-12,31.8156558333
2015-03-13,57.2911695486
2015-03-14,40.7376232986
2015-03-15,39.2927828819
2015-03-16,33.3932962153
2015-03-17,23.0316383333
2015-03-18,21.1293247917
2015-03-19,28.2371685764
2015-03-20,29.6356260764
2015-03-21,25.9875426389
2015-03-22,26.5431788194
2015-03-23,36.0219513542
2015-03-24,35.7343582292
2015-03-25,34.7244591319
2015-03-26,50.1323421181
2015-03-27,26.4737938542
2015-03-28,15.4915780556
2015-03-29,26.0616223264
2015-03-30,26.1924885417
2015-03-31,25.4620218056
2015-04-01,27.2331591319
2015-04-02,14.9405714236
2015-04-03,25.3190964931
2015-04-04,21.2322806597
2015-04-05,37.3520429167
2015-04-06,53.790781875
2015-04-07,28.7900482639
2015-04-08,21.9432000694
2015-04-09,30.2991195833
2015-04-10,34.9349867361
2015-04-11,22.2386069097
2015-04-12,29.0405962153
2015-04-13,51.6240209722
2015-04-14,34.3669178472
2015-04-15,40.2252852431
2015-04-16,31.1662355208
2015-04-17,30.1606505903
2015-04-18,23.5788172222
2015-04-19,27.3983123958
2015-04-20,30.8715955208
2015-04-21,26.6162652083
2015-04-22,31.2192974306
2015-04-23,38.3862544097
2015-04-24,26.1420940625
2015-04-25,48.6824647222
2015-04-26,28.6371309722
2015-04-27,37.0758104167
2015-04-28,41.4992586806
2015-04-29,30.4640380208
2015-04-30,45.387499375
2015-05-01,34.9641259375
2015-05-02,24.5446204861
2015-05-03,26.5513628819
2015-05-04,28.1414867014
2015-05-05,25.7623316667
2015-05-06,29.6965129514
2015-05-07,63.6209948611
2015-05-08,39.2547417708
2015-05-09,29.5105216319
2015-05-10,29.5434013889
2015-05-11,32.2743963542
2015-05-12,36.9474904514
2015-05-13,44.8322228125
2015-05-14,58.8802795139
2015-05-15,22.9574973264
2015-05-16,42.3443474653
2015-05-17,44.3296088542
2015-05-18,24.8057705208
2015-05-19,27.4488735417
2015-05-20,29.01952125
2015-05-21,35.8755049653
2015-05-22,27.5687455556
2015-05-23,27.6075534722
2015-05-24,6.03381829861
2015-05-25,22.4907016667
2015-05-26,39.8597225
