date,Control,OldFireModel_Moderate_Control,OldFireModel_Extreme_Control,Treatment,OldFireModel_Moderate_Treatment,OldFireModel_Extreme_Treatment
29Mar1990,128883,128880,128837,128860,128879,128853
30Mar1990,129581,129579,129535,129558,129578,129552
31Mar1990,130309,130307,130264,130287,130306,130280
01Apr1990,131120,131117,131074,131097,131116,131090
02Apr1990,131982,131979,131936,131959,131978,131952
03Apr1990,132941,132939,132895,132918,132938,132912
04Apr1990,133995,133992,133949,133972,133992,133965
05Apr1990,135110,135107,135064,135087,135106,135080
06Apr1990,136208,136206,136162,136186,136205,136179
07Apr1990,137232,137229,137186,137209,137228,137202
08Apr1990,138240,138237,138194,138217,138236,138210
09Apr1990,139117,139114,139071,139094,139114,139087
10Apr1990,140038,140035,139992,140015,140034,140008
11Apr1990,141014,141011,140968,140991,141010,140984
12Apr1990,142015,142013,141970,141993,142012,141986
13Apr1990,143150,143147,143104,143127,143146,143120
14Apr1990,144386,144383,144340,144363,144382,144356
15Apr1990,145602,145599,145556,145579,145598,145572
16Apr1990,146806,146803,146760,146783,146802,146776
17Apr1990,147846,147843,147800,147823,147842,147816
18Apr1990,148755,148752,148709,148732,148752,148725
19Apr1990,149642,149639,149596,149619,149638,149612
20Apr1990,150475,150473,150430,150453,150472,150446
21Apr1990,151267,151264,151221,151244,151264,151237
22Apr1990,152061,152058,152015,152038,152057,152031
23Apr1990,154142,154139,154096,154119,154138,154112
24Apr1990,155632,155629,155586,155609,155628,155602
25Apr1990,156861,156858,156815,156838,156858,156832
26Apr1990,158016,158013,157970,157993,158012,157986
27Apr1990,159159,159156,159113,159136,159156,159130
28Apr1990,160256,160253,160210,160233,160252,160226
29Apr1990,161148,161145,161102,161125,161144,161118
30Apr1990,161898,161896,161852,161875,161895,161869
01May1990,162469,162466,162423,162446,162465,162439
02May1990,163028,163025,162982,163005,163025,162999
03May1990,163612,163609,163566,163589,163608,163582
04May1990,164219,164216,164173,164196,164215,164189
05May1990,164810,164807,164764,164787,164806,164780
06May1990,165360,165357,165314,165337,165356,165330
07May1990,165835,165832,165789,165812,165831,165805
08May1990,166231,166229,166186,166209,166228,166202
09May1990,166592,166589,166546,166569,166588,166562
10May1990,166936,166933,166890,166913,166933,166906
11May1990,167242,167239,167196,167219,167239,167213
12May1990,167509,167506,167463,167486,167505,167479
13May1990,167734,167731,167688,167711,167730,167704
14May1990,167940,167938,167895,167918,167937,167911
15May1990,168128,168125,168082,168105,168124,168098
16May1990,168288,168285,168242,168265,168285,168259
17May1990,168422,168419,168376,168399,168419,168392
18May1990,168530,168527,168484,168507,168527,168500
19May1990,168613,168610,168567,168590,168609,168583
20May1990,169008,169005,168962,168985,169004,168978
21May1990,169463,169460,169417,169440,169459,169433
22May1990,169780,169777,169734,169757,169776,169750
23May1990,170309,170306,170263,170286,170306,170279
24May1990,170809,170806,170763,170786,170805,170779
25May1990,171195,171193,171150,171172,171192,171166
26May1990,171638,171636,171593,171616,171635,171609
27May1990,173091,173089,173046,173068,173088,173062
28May1990,174505,174502,174459,174482,174501,174475
29May1990,175453,175451,175408,175431,175450,175424
30May1990,177269,177267,177224,177247,177266,177240
31May1990,179456,179453,179410,179433,179453,179427
01Jun1990,181115,181112,181069,181092,181111,181085
02Jun1990,182344,182341,182299,182321,182341,182315
03Jun1990,183232,183229,183186,183209,183228,183202
04Jun1990,183898,183895,183853,183875,183895,183869
05Jun1990,184405,184403,184360,184383,184402,184376
06Jun1990,184830,184828,184785,184808,184827,184801
07Jun1990,185182,185180,185137,185160,185179,185153
08Jun1990,185462,185459,185416,185439,185458,185432
09Jun1990,185687,185684,185641,185664,185683,185657
10Jun1990,185875,185873,185830,185853,185872,185846
11Jun1990,186028,186025,185982,186005,186024,185998
12Jun1990,186161,186159,186116,186139,186158,186132
13Jun1990,186265,186262,186219,186242,186262,186235
14Jun1990,186361,186359,186316,186339,186358,186332
15Jun1990,186408,186405,186362,186385,186404,186378
16Jun1990,186431,186429,186386,186409,186428,186402
17Jun1990,186398,186395,186352,186375,186394,186368
18Jun1990,186454,186451,186408,186431,186450,186424
19Jun1990,186336,186334,186291,186314,186333,186307
20Jun1990,186191,186188,186145,186168,186187,186161
21Jun1990,186216,186214,186171,186194,186213,186187
22Jun1990,186022,186019,185976,185999,186018,185992
23Jun1990,185802,185799,185756,185779,185799,185773
24Jun1990,185552,185549,185506,185529,185548,185522
25Jun1990,185537,185534,185491,185514,185533,185507
26Jun1990,185252,185249,185206,185229,185248,185222
27Jun1990,184950,184947,184904,184927,184946,184920
28Jun1990,184911,184908,184865,184888,184907,184881
29Jun1990,184574,184571,184528,184551,184570,184544
30Jun1990,184228,184225,184183,184205,184225,184199
01Jul1990,183667,183664,183509,183644,183663,183598
02Jul1990,183121,183118,182964,183098,183118,183052
03Jul1990,182550,182547,182423,182527,182546,182512
04Jul1990,181912,181909,181817,181889,181908,181906
05Jul1990,181205,181202,181071,181110,181129,181160
06Jul1990,180489,180486,180276,180393,180413,180365
07Jul1990,179695,179692,179476,179600,179619,179565
08Jul1990,178978,178975,178786,178916,178935,178842
09Jul1990,178440,178437,178136,178338,178357,178192
10Jul1990,177826,177823,177516,177724,177743,177611
11Jul1990,177096,177094,176780,176995,177014,176948
12Jul1990,176502,176499,176114,176401,176420,176281
13Jul1990,175766,175763,175405,175731,175750,175539
14Jul1990,175075,175072,174740,174967,175019,174842
15Jul1990,174374,174371,174072,174266,174318,174174
16Jul1990,173737,173734,173363,173629,173681,173537
17Jul1990,173029,173026,172576,172921,173006,172750
18Jul1990,172350,172347,171826,172242,172328,171999
19Jul1990,171670,171667,171212,171562,171647,171352
20Jul1990,170844,170841,170307,170697,170709,170447
21Jul1990,170086,170083,169616,169972,169985,169756
22Jul1990,169360,169357,168811,169174,169187,168919
23Jul1990,168634,168631,167901,168448,168460,168120
24Jul1990,167505,167502,166766,167318,167331,167024
25Jul1990,166704,166701,165959,166551,166563,166289
26Jul1990,166047,166044,165157,165894,165907,165488
27Jul1990,165244,165241,164237,165091,165104,164573
28Jul1990,164217,164215,163342,164064,164077,163613
29Jul1990,163518,163515,162498,163365,163377,162841
30Jul1990,162822,162820,161836,162669,162715,162179
31Jul1990,162086,162083,161133,161933,161979,161475
01Aug1990,161378,161376,160208,161225,161271,160551
02Aug1990,160597,160594,159388,160444,160490,159730
03Aug1990,159671,159668,158456,159518,159564,158765
04Aug1990,158679,158676,157457,158526,158572,157767
05Aug1990,158053,158050,156792,157933,157979,157102
06Aug1990,157504,157502,156310,157385,157430,156554
07Aug1990,156949,156947,155499,156757,156803,155854
08Aug1990,156289,156286,154793,156097,156142,155154
09Aug1990,155628,155625,154126,155436,155482,154454
10Aug1990,154855,154852,153380,154663,154708,153609
11Aug1990,153936,153934,152627,153744,153790,152790
12Aug1990,153347,153344,152032,153155,153201,152267
13Aug1990,152790,152787,151436,152598,152644,151671
14Aug1990,152199,152197,150767,152007,152053,151002
15Aug1990,151425,151423,149947,151233,151279,150294
16Aug1990,150684,150682,149128,150525,150571,149441
17Aug1990,149833,149830,148264,149707,149753,148511
18Aug1990,148948,148946,147545,148822,148901,147759
19Aug1990,148288,148285,146912,148162,148274,147093
20Aug1990,147773,147771,146325,147648,147760,146506
21Aug1990,147187,147184,145588,147061,147173,145736
22Aug1990,146599,146596,144922,146473,146585,145037
