date,Control,OldFireModel_Moderate_Control,OldFireModel_Extreme_Control,Treatment,OldFireModel_Moderate_Treatment,OldFireModel_Extreme_Treatment
06Apr1998,111704,112097,112412,112112,112351,112326
07Apr1998,111853,112238,112327,112270,112202,112524
08Apr1998,112164,112541,112724,112589,112513,112444
09Apr1998,112408,112381,112659,112446,112360,112365
10Apr1998,112258,112222,112595,112304,112210,112287
11Apr1998,112368,112325,112528,112423,112320,112469
12Apr1998,112208,112553,112454,112272,112556,112382
13Apr1998,112442,112383,112379,112515,112394,112292
14Apr1998,112276,112209,112299,112358,112227,112628
15Apr1998,112538,112463,112648,112199,112489,112532
16Apr1998,112370,112287,112566,112469,112320,112436
17Apr1998,112208,112481,112491,112316,112522,112347
18Apr1998,112322,112323,112427,112439,112371,112269
19Apr1998,112588,112581,112384,112317,112241,112607
20Apr1998,112491,112476,112374,112659,112573,112583
21Apr1998,112462,112439,112431,112639,112544,112626
22Apr1998,112488,112458,112544,112674,112570,112725
23Apr1998,112574,112536,112717,112769,112656,112883
24Apr1998,112628,112582,112858,112832,112710,113010
25Apr1998,112653,112599,112969,112865,112734,113107
26Apr1998,112673,112611,113076,112894,112754,113200
27Apr1998,112721,112652,113211,112951,112802,113320
28Apr1998,112817,112740,113394,113056,112898,113489
29Apr1998,112973,112888,113636,113221,113054,113717
30Apr1998,113216,113127,113916,113470,113297,113999
01May1998,113512,113424,114200,113769,113595,114302
02May1998,113961,113873,114636,114222,114046,114757
03May1998,114346,114259,115009,114611,114434,115149
04May1998,114641,114554,115291,114909,114730,115450
05May1998,114887,114801,115525,115159,114978,115703
06May1998,115108,115023,115733,115383,115201,115930
07May1998,115309,115224,115922,115587,115404,116138
08May1998,115529,115445,116130,115812,115627,116365
09May1998,115798,115714,116386,116083,115897,116640
10May1998,115973,115890,116549,116262,116074,116821
11May1998,116086,116004,116650,116379,116189,116942
12May1998,116162,116080,116713,116458,116267,117024
13May1998,116200,116119,116739,116500,116307,117069
14May1998,116214,116134,116741,116518,116324,117089
15May1998,115775,115695,116289,116082,115886,116657
16May1998,114905,114826,115406,115216,115018,115793
17May1998,114035,113956,114623,114349,114150,114929
18May1998,113165,113087,113740,113482,113282,114066
19May1998,112295,112217,113089,112616,112414,113401
20May1998,112086,112009,112603,112014,111810,112934
21May1998,111877,111801,112151,111809,111603,112500
22May1998,111602,111526,111863,111537,111330,111934
23May1998,111327,111252,111642,111266,111058,111732
24May1998,111333,111259,111669,111276,111066,111778
25May1998,111645,111571,112001,111591,111379,112129
26May1998,112045,111971,112388,111994,111781,112536
27May1998,112423,112351,112622,112376,112162,112789
28May1998,112478,112373,112731,112468,112483,112917
29May1998,112665,112560,112938,112658,112671,113109
30May1998,112758,112655,113185,112821,112800,113375
31May1998,112963,112861,113487,113061,113012,113683
01Jun1998,113118,113649,113652,113219,113180,113841
02Jun1998,114008,113816,113923,114111,114083,114106
03Jun1998,114192,114003,114149,114296,114278,114325
04Jun1998,114506,114322,114473,114613,114606,114642
05Jun1998,114746,114566,114789,114887,114858,114950
06Jun1998,115084,114908,115202,115260,115208,115357
07Jun1998,115492,115320,115719,115703,115629,115867
08Jun1998,115915,115747,116184,116127,116064,116325
09Jun1998,116302,116139,116614,116517,116464,116748
10Jun1998,116927,116767,117348,117209,117101,117475
11Jun1998,117694,117539,118191,117979,117881,118311
12Jun1998,118474,118065,118821,118569,118449,119431
13Jun1998,119609,119204,119966,119705,119596,120568
14Jun1998,120744,120343,121110,120842,120744,121705
15Jun1998,121878,121482,122254,121978,121891,122842
16Jun1998,123005,122612,123390,123107,123030,123972
17Jun1998,124054,123665,124449,124157,124091,125023
18Jun1998,125114,124730,125519,125220,125165,126087
19Jun1998,126175,125795,126589,126283,126238,127150
20Jun1998,127208,126832,127631,127317,127283,128185
21Jun1998,128215,127843,128648,128326,128303,129195
22Jun1998,129190,128823,129632,129303,129290,130172
23Jun1998,130103,129740,130555,130218,130216,131088
24Jun1998,130985,130626,131446,131102,131111,131972
25Jun1998,131865,131510,132336,131983,132003,132854
26Jun1998,132716,132365,133197,132837,132867,133709
