,SFMD,FMD_storage,SHHL,HHL_storage,RFMD,FMD_out_FMPH,RHHL,HHL_out_MFPH
1996-02-02,43.77626648523325,78.1,94.34378840775669,122.9,1.171119133372535,0.0,2.6935740067568315,288.5
1996-02-03,43.97196013289972,78.3,94.7142893230813,123.0,1.171119133372535,0.0,2.6935740067568315,148.9
1996-02-04,48.3331083190061,82.6,101.19126956696559,129.0,1.171119133372535,0.0,2.6935740067568315,226.0
1996-02-05,53.19623997534153,87.4,112.78643162041267,139.9,1.171119133372535,0.0,2.6935740067568315,337.0
1996-02-06,55.31771874373191,89.5,116.32770938990183,143.0,1.171119133372535,0.0,2.6935740067568315,225.0
1996-02-07,56.729280157945894,90.9,118.22816071587314,144.6,1.171119133372535,0.0,2.6935740067568315,158.0
1996-02-08,57.836874630523,92.0,119.86431452162839,145.9,1.171119133372535,0.0,2.6935740067568315,177.0
1996-02-09,58.842485632197466,93.0,121.36790634413579,147.0,1.171119133372535,0.0,2.6935740067568315,211.0
1996-02-10,59.84809663387193,94.0,122.65563039841167,147.9,1.171119133372535,0.0,2.6935740067568315,204.0
1996-02-11,60.8537076355464,95.0,124.03740403930604,148.9,1.171119133372535,0.0,2.6935740067568315,201.0
1996-02-12,61.894525248731824,95.7,125.46016941566856,150.3,1.171119133372535,168.0,2.6935740067568315,188.0
1996-02-13,62.98807013455573,96.3,126.94805875886355,151.9,1.171119133372535,244.0,2.6935740067568315,196.0
1996-02-14,64.01136708661362,96.8,128.11264231747901,153.5,1.171119133372535,261.0,2.6935740067568315,51.0
1996-02-15,64.88904420420599,97.2,129.5003663715865,154.5,1.171119133372535,239.0,2.6935740067568315,444.0
1996-02-16,66.45118413056308,98.1,131.28379290436644,156.1,1.171119133372535,329.0,2.6935740067568315,431.0
1996-02-17,69.03117529487552,100.0,134.1143268733996,159.6,1.171119133372535,331.0,2.6935740067568315,-1.0
1996-02-18,71.13893505502453,101.4,136.62205092562098,162.2,1.171119133372535,348.0,2.6935740067568315,307.0
1996-02-19,74.67727332516114,104.3,140.79093199983836,166.6,1.171119133372535,284.0,2.6935740067568315,160.0
1996-02-20,77.0921405228095,105.9,143.4403089443832,169.3,1.171119133372535,390.0,2.6935740067568315,364.0
1996-02-21,78.70105730859196,106.7,145.2987767993508,171.1,1.171119133372535,393.0,2.6935740067568315,425.0
1996-02-22,79.79410632664809,107.0,146.38931077131411,171.9,1.171119133372535,394.0,2.6935740067568315,548.0
